,Ano de ingresso,Semestre de ingresso no curso,Código,Gênero,Data de nascimento,Forma de ingresso,Tipo de cota,Município SISU,UF SISU,País de nascimento,Mudou de curso - mesmo campus,Mudou de curso - outro campus,Cor ou raça,Ano,Semestre,Coeficiente de rendimento,Disciplinas matriculadas,Disciplinas aprovadas,Disciplinas reprovadas por nota,Disciplinas reprovadas por frequência,Disciplinas consignadas,Situação,Período
144,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2012,1,0.6949,4,4,0,0,0,Enade pendente,10
143,2007,1,9,Masculino,1989-02-02,Vestibular,Sem cotas,,,Brasil,Não,Não,Não declarado,2012,2,0.6949,0,0,0,0,0,Formado,10
162,2007,1,10,Masculino,1989-02-23,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,,0,0,0,0,0,Desistente,1
205,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,,0,0,0,0,0,Regular,1
206,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,,0,0,0,0,0,Regular,1
203,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,,0,0,0,0,0,Regular,1
204,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2008,2,,0,0,0,0,0,Regular,1
201,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2009,1,,0,0,0,0,0,Regular,1
202,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2009,2,,0,0,0,0,0,Regular,1
200,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2010,1,0.672,3,1,2,0,28,Regular,3
199,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2010,2,0.6655,7,4,1,1,4,Regular,4
198,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2011,1,0.668,8,6,1,1,3,Regular,6
197,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2011,2,0.6717,7,5,2,0,0,Regular,7
196,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2012,1,0.6854,6,6,0,0,3,Regular,8
195,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2012,2,0.6894,6,5,1,0,0,Regular,8
194,2007,1,11,Masculino,1989-04-17,Reopção de Curso,Sem cotas,,,Brasil,Não,Não,Branca,2013,1,0.6948,5,5,0,0,1,Formado,10
214,2007,1,12,Masculino,1987-02-21,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,,0,0,0,0,0,Desistente,1
231,2007,1,13,Masculino,1989-05-29,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,,0,0,0,0,0,Desistente,1
232,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.7803,6,3,0,0,3,Regular,2
233,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.7618,7,2,0,0,5,Regular,3
234,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,0.7273,8,5,0,0,3,Regular,3
235,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,2,0.7279,7,6,0,0,1,Regular,4
236,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,1,0.6925,8,6,2,0,0,Regular,5
237,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,2,0.6901,7,7,0,0,0,Regular,6
238,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,1,0.6975,9,8,1,0,3,Regular,7
239,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,2,0.709,7,7,0,0,1,Regular,9
240,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,1,0.7084,4,3,1,0,0,Regular,10
241,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,2,0.7099,5,4,1,0,0,Regular,10
242,2007,1,14,Masculino,1986-01-27,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2012,1,0.712,1,1,0,0,0,Formado,10
252,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,1,0.7152,6,6,0,0,0,Regular,1
253,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2007,2,0.6942,7,7,0,0,0,Regular,2
259,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,1,0.7327,8,8,0,0,0,Regular,3
254,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2008,2,0.7485,8,8,0,0,0,Regular,4
258,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,1,0.7597,7,7,0,0,0,Regular,5
257,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2009,2,0.7585,7,7,0,0,0,Regular,6
251,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,1,0.7628,8,8,0,0,0,Regular,7
250,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2010,2,0.7643,6,6,0,0,0,Regular,9
255,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,1,0.7676,4,4,0,0,0,Regular,10
256,2007,1,15,Masculino,1988-11-14,Vestibular,Sem cotas,,,Brasil,Não,Não,Branca,2011,2,0.7718,5,5,0,0,0,Formado,10
